Qubit_ID,Readout_Error,Category,Normalized_Error,Percentile
145,0.009033203,Category_C,1.113211167741363,85.8974358974359
146,0.160522461,Category_E,19.7820636000904,98.71794871794873
147,0.006347656,Category_C,0.7822564762665545,65.38461538461539
148,0.005737305,Category_C,0.7070395737523402,55.769230769230774
149,0.005004883,Category_C,0.6167791921468936,48.717948717948715
150,0.006958008,Category_C,0.8574735020162555,72.43589743589743
151,0.006347656,Category_C,0.7822564762665545,65.38461538461539
152,0.007324219,Category_C,0.9026036928189788,77.56410256410257
153,0.006958008,Category_C,0.8574735020162555,72.43589743589743
154,0.005493164,Category_C,0.6769527388053624,53.205128205128204
155,0.003540039,Category_B,0.43625842893600053,21.794871794871796
